,artist,album,track
243,Rex Orange County,Bcos U Will Never B Free,Corduroy Dreams
244,Young T & Bugsey,Don't Rush (feat. DaBaby),Don't Rush (feat. DaBaby)
245,Niall Horan,Flicker,On The Loose
246,Jon Bellion,The Human Condition,The Good In Me
247,James Bay,Chaos And The Calm,Let It Go
248,Andrew McMahon in the Wilderness,Andrew McMahon In The Wilderness,Cecilia And The Satellite
249,Red Hot Chili Peppers,By the Way,Can't Stop
250,OneRepublic,Oh My My,Kids
251,Sigrid,Sucker Punch,In Vain
252,Adele,25,Remedy
253,Alison Wonderland,Awake,No
254,Troye Sivan,Blue Neighbourhood,HEAVEN
255,OneRepublic,Waking Up,Good Life
256,Rihanna,FourFiveSeconds,FourFiveSeconds
257,Taylor Swift,reputation,Dancing With Our Hands Tied
258,Rex Orange County,Pony,10/10
259,Alec Benjamin,These Two Windows,Demons
260,Louis The Child,Every Color (with Foster The People),Every Color (with Foster The People)
261,Declan McKenna,What Do You Think About the Car?,Make Me Your Queen
262,AJR,Neotheater,Birthday Party
263,"Crosby, Stills & Nash",Greatest Hits,Southern Cross
264,Tom Misch,I Wish,I Wish
265,Twenty One Pilots,Vessel,Semi-Automatic
266,The Weeknd,Starboy,Starboy
267,Glass Animals,Dreamland,Tangerine
268,The Head and the Heart,Living Mirage,Honeybee
269,Randy Newman,"Monsters, Inc.",Boo's Going Home
270,ROLE MODEL,blind,blind
271,fun.,Some Nights,We Are Young (feat. Janelle Monáe)
272,Powfu,death bed (coffee for your head),death bed (coffee for your head)
273,OneRepublic,Native,Love Runs Out
274,SAYGRACE,FMA,You Don't Own Me (feat. G-Eazy)
275,Lorde,Pure Heroine,Tennis Court
276,Camila Cabello,Camila,Never Be the Same
277,U2,The Joshua Tree,Where The Streets Have No Name - Remastered
278,Jack Johnson,Brushfire Fairytales,Bubble Toes
279,Leland,Sierra Burgess is a Loser (Original Motion Picture Soundtrack),Latitude
280,Stevie Wonder,Songs In The Key Of Life,I Wish
281,Alexander 23,I'm Sorry I Love You,Dirty AF1s
282,Russ,SHAKE THE SNOW GLOBE,CIVIL WAR - Bonus
283,Louis The Child,Don't Mind,Don't Mind
284,Chelsea Cutler,You're Not Missing Me,You're Not Missing Me
285,Alec Benjamin,Narrated For You,If We Have Each Other
286,Bastille,All This Bad Blood,Of The Night
287,Perfume Genius,No Shape,Slip Away
288,Labrinth,Euphoria (Original Score from the HBO Series),WTF Are We Talking For
289,SHAED,MELT,Trampoline
290,Billie Eilish,lovely (with Khalid),lovely (with Khalid)
291,Cardi B,Invasion of Privacy,Be Careful
292,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",goodbye
293,Post Malone,beerbongs & bentleys,Otherside
294,Cordae,The Lost Boy,RNP (feat. Anderson .Paak)
295,John Mayer,Heavier Things,Daughters
296,Lord Huron,Strange Trails,Fool for Love
297,Dylan Jordan,aliso,aliso
298,Lipps Inc.,Paradas Continuas,Funky Town
299,George Ezra,Staying at Tamara's,Shotgun
300,Bryce Vine,La La Land EP,La La Land (feat. YG) - ARKADI Remix
301,Matt Maeson,Bank On The Funeral,Hallucinogenics
302,okaywill,Falling for You,Cold
303,Jon Bellion,Translations Through Speakers,Timeless
304,The Paper Kites,Woodland - EP,Bloom - Bonus Track
305,Alicia Keys,Girl on Fire (Remixes) - EP,Girl on Fire
306,Rihanna,ANTI,Love On The Brain
307,The Strumbellas,Hope,Spirits
308,Tierra Whack,Only Child,Only Child
309,Taylor Swift,Delicate,Delicate - Sawyr And Ryan Tedder Mix
310,Sigrid,Sucker Punch,Never Mine
311,Rex Orange County,Pony,Pluto Projector
312,Justin Timberlake,SoulMate,SoulMate
313,Drake,Scorpion,God's Plan
314,Troye Sivan,Blue Neighbourhood,BITE
315,Russ,ZOO,Missin You Crazy
316,Rihanna,Talk That Talk,Where Have You Been
317,Rita Ora,Phoenix,Anywhere
318,WILLOW,ARDIPITHECUS,Wait a Minute!
319,Ruel,Free Time,Real Thing
320,Gucci Mane,Evil Genius,Wake Up in the Sky
321,Post Malone,Spider-Man: Into the Spider-Verse,Sunflower - Spider-Man: Into the Spider-Verse
322,Cardi B,Please Me,Please Me
