endTime,artistName,trackName,msPlayed
2019-10-20 18:40,Sarah Spring,Under Cold Water,69102
2019-10-20 18:41,Odin Sørlie,Lucida,22517
2019-10-20 18:41,[bsd.u],island,7326
2019-10-20 18:42,.ihaveaface,by my side,70856
2019-10-20 18:42,A L E X,I need to paint my walls,17611
2019-10-20 18:44,Jinsang,Reflection,115263
2019-10-20 18:45,Maths Time Joy,Going Nowhere - Stripped,11189
2019-10-20 18:48,Beck,Wow,222335
2019-10-20 18:49,Louis The Child,Interstellar,28115
2019-10-20 18:49,NGHTMRE,GUD VIBRATIONS,2080
2019-10-20 18:52,Louis The Child,Interstellar,199206
2019-10-20 18:56,NGHTMRE,GUD VIBRATIONS,224210
2019-10-20 19:00,Flume,Left Alone - Ta-Ku Remix,241337
2019-10-20 19:02,Pretty Lights,Down The Line,1962
2019-10-20 19:02,sagun,I'll Keep You Safe,170895
2019-10-20 19:05,Alex Lustig,Free Form,160608
2019-10-20 19:08,Flume,Holdin On,154414
2019-10-20 19:10,Kidswaste,Free,24230
2019-10-20 19:10,Gnavis,Underwater.,131526
2019-10-20 19:13,The Deli,Poppa,16096
2019-10-20 19:13,FELIVAND,Same Old,177258
2019-10-20 19:13,Alex Lustig,Dusk,6805
2019-10-20 19:16,sagun,surface,137919
2019-10-20 19:21,UTAH,Glass House,23200
2019-10-20 19:21,Two People,"I'm Tied, To You",314141
2019-10-20 19:21,Tina Guo,Journey,2208
2019-10-20 19:21,Amilli,Rarri,7520
2019-10-20 19:22,Ooyy,Pink Mirrors,9418
2019-10-20 19:23,Louis The Child,Space Jam,101898
2019-10-20 19:23,Moana Karaoke,You're Welcome - Instrumental,7360
2019-10-20 19:26,Big Wild,When I Get There,138250
2019-10-20 19:27,Fall on Your Sword,I'm Never Gonna Call You,84842
2019-10-20 19:32,Cardboard Kids,Echo Boomer,13397
2019-10-20 19:32,DROELOE,Sunburn,14532
2019-10-20 19:32,DROELOE,Sunburn,4224
2019-10-20 19:32,Whethan,Superlove (feat. Oh Wonder),5706
2019-10-20 19:32,UTAH,Cities,265912
2019-10-20 19:32,UTAH,Cities,12693
2019-10-20 19:33,The Limousines,Haunted,49162
2019-10-20 19:35,27,Do What You Do,103200
2019-10-20 19:37,Lovelier Other,Hidden Shelters,20789
2019-10-20 19:37,Susanne Fade,How Deep Is The Ocean,10933
2019-10-20 19:37,Unknown Mortal Orchestra,Hunnybee,6378
2019-10-20 19:37,Rachel Younger,Someday My Prince Will Come,5397
2019-10-20 19:37,Carly Van Skaik,Blue Diamond Eyes,107146
2019-10-20 19:37,Polo & Pan,Nanã,864
2019-10-20 19:41,Dennis Roland,The Way You Look Tonight,215719
2019-10-20 19:45,Morris Valentin,Going Places,258360
2019-10-20 19:50,David Fitzpatrick Trio,I Didn't Know What Time It Was,287381
2019-10-20 19:54,Magnus Ringblom Quartet,Hopefully Just Imagination,219508
2019-10-20 19:58,Schultz/Bagge,Martin the Machine,264000
2019-10-20 20:00,Sofia Rojic,Misty,159826
2019-10-20 20:05,Carl Bagge Trio,I’m Old Fashioned,272000
2019-10-20 20:06,Kjetil Mulelid Trio,Waltz for Ima,56690
2019-10-20 20:12,Schultz/Bagge,Old Country,352250
2019-10-20 20:17,Joel Lyssarides,Meditation,293401
2019-10-20 20:20,Hara Noda,Lower East,209375
2019-10-20 20:24,CMC 3,Love Is Here To Stay,13383
2019-10-20 20:24,Mandevilla,Someone to watch over me,258000
2019-10-20 20:27,Yolanda Be Cool,A Baru in New York (feat. Gurruml) [Flume Soundtrack Remix],145365
2019-10-20 20:33,Washed Out,Paracosm,392240
2019-10-20 20:34,Pretty Lights,Around the Block (Datsik Remix) [feat. Talib Kweli],67607
2019-10-20 20:37,FKJ,Go Back Home,56141
2019-10-20 20:38,Rex Orange County,Television / So Far So Good,28309
2019-10-20 20:38,Quinn XCII,Autopilot,1450
2019-10-20 20:38,Pretty Lights,Finally Moving,62508
2019-10-20 20:38,Grant,Starship,4117
2019-10-20 20:39,Flume,Say It - Illenium Remix,170
2019-10-20 20:39,Sia,"No New Friends (feat. Sia, Diplo, and Labrinth)",2218
2019-10-20 20:39,"Tyler, The Creator",See You Again (feat. Kali Uchis),874
2019-10-20 20:41,Mac Miller,Self Care,100821
2019-10-20 20:47,Mac Miller,Jet Fuel,354222
2019-10-20 20:55,Mac Miller,2009,48557
2019-10-20 20:57,Disclosure,Latch - DJ Premier Remix,112085
2019-10-20 21:00,Post Malone,Circles,215280
2019-10-20 21:03,Lewis Blissett,Killing Butterflies,5738
2019-10-20 21:03,Hoodie Allen,Champagne and Pools (feat. Blackbear & Kyle),90444
2019-10-20 21:04,Healy,Reckless,1834
2019-10-20 21:13,Radical Face,"Welcome Home, Son",224981
2019-10-20 21:17,Major Lazer,Know No Better,225849
2019-10-20 21:20,Kanye West,Black Skinhead,188013
2019-10-20 21:22,Cardi B,I Like It,145022
2019-10-20 21:25,Sweater Beats,Glory Days (feat. Hayley Kiyoko) - Party Pupils Remix,168344
